,FullName,GeoCode,lat,lon
0,イトーヨーカドー 高砂店,"['35.7507494', '139.8686667']",35.7507494,139.8686667
1,イトーヨーカドー 上板橋店,"['35.763947', '139.6781717']",35.763947,139.6781717
2,イトーヨーカドー 金町店,"['35.77061675', '139.86737635']",35.77061675,139.86737635
3,イトーヨーカドー 東村山店,"['35.7589161', '139.4666536']",35.7589161,139.4666536
4,イトーヨーカドー 竹の塚店,"['35.7954384', '139.7953765']",35.7954384,139.7953765
5,イトーヨーカドー 武蔵境店,"['35.70113765', '139.5453088']",35.70113765,139.5453088
6,イトーヨーカドー 小岩店,"['35.7336872', '139.8815047']",35.7336872,139.8815047
7,イトーヨーカドー 多摩センタ－店,"['35.623619', '139.425732']",35.623619,139.425732
8,イトーヨーカドー 綾瀬店,"['35.7627464', '139.8256053']",35.7627464,139.8256053
9,イトーヨーカドー 昭島店,"['35.714097', '139.361893']",35.714097,139.361893
10,イトーヨーカドー 四つ木店,"['35.7372123', '139.8387673']",35.7372123,139.8387673
11,イトーヨーカドー 東久留米店,"['35.7590343', '139.5289239']",35.7590343,139.5289239
12,イトーヨーカドー 亀有駅前店,"['35.7665785', '139.8486972']",35.7665785,139.8486972
13,イトーヨーカドー 赤羽店,"['35.777205', '139.7191613']",35.777205,139.7191613
14,イトーヨーカドー 田無店,"['35.7282317', '139.5402692']",35.7282317,139.5402692
15,イトーヨーカドー 大井町店,"['35.6071396', '139.7341687']",35.6071396,139.7341687
16,イトーヨーカドー 南大沢店,"['35.61321', '139.3795214']",35.61321,139.3795214
17,イトーヨーカドー 葛西店,"['35.6526269', '139.8819735']",35.6526269,139.8819735
18,イトーヨーカドー 八王子店,"['35.6378429', '139.2935541']",35.6378429,139.2935541
19,イトーヨーカドー 木場店,"['35.6661487', '139.8042003']",35.6661487,139.8042003
20,イトーヨーカドー 拝島店,"['35.7158144', '139.3484951']",35.7158144,139.3484951
21,イトーヨーカドー 東大和店,"['35.7360341', '139.4240884']",35.7360341,139.4240884
22,イトーヨーカドー 国領店,"['35.6470201', '139.5641304']",35.6470201,139.5641304
23,イトーヨーカドー 大森店,"['35.5865184', '139.7329257']",35.5865184,139.7329257
24,イトーヨーカドー アリオ亀有店,"['35.7638665', '139.8531588']",35.7638665,139.8531588
25,イトーヨーカドー アリオ西新井店,"['35.7746792', '139.7855124']",35.7746792,139.7855124
26,イトーヨーカドー 武蔵小金井店,"['35.7005697', '139.5048456']",35.7005697,139.5048456
27,イトーヨーカドー アリオ北砂店,"['35.6828389', '139.8259294']",35.6828389,139.8259294
28,イトーヨーカドー 曳舟店,"['35.7173728', '139.8177629']",35.7173728,139.8177629
29,イトーヨーカドー 相模原店,"['35.515511', '139.425101']",35.515511,139.425101
30,イトーヨーカドー 上大岡店,"['35.4041413', '139.5968031']",35.4041413,139.5968031
31,イトーヨーカドー 藤沢店,"['35.3350013', '139.4891182']",35.3350013,139.4891182
32,イトーヨーカドー 厚木店,"['35.4390323', '139.3593286']",35.4390323,139.3593286
33,イトーヨーカドー 洋光台店,"['35.3802615', '139.5940664']",35.3802615,139.5940664
34,イトーヨーカドー たまプラ－ザ店,"['35.5782719', '139.55687595']",35.5782719,139.55687595
35,イトーヨーカドー 桂台店,"['35.3533964', '139.5663896']",35.3533964,139.5663896
36,イトーヨーカドー 茅ケ崎店,"['35.3317763', '139.4052537']",35.3317763,139.4052537
37,イトーヨーカドー 秦野店,"['35.38191445', '139.27270425']",35.38191445,139.27270425
38,イトーヨーカドー 大船店,"['35.3541918', '139.5381001']",35.3541918,139.5381001
39,イトーヨーカドー 綱島店,"['35.5355225', '139.6317456']",35.5355225,139.6317456
40,イトーヨーカドー 若葉台店,"['35.5053617', '139.4983427']",35.5053617,139.4983427
41,イトーヨーカドー 上永谷店,"['35.4004125', '139.57191125']",35.4004125,139.57191125
42,イトーヨーカドー 武蔵小杉駅前店,"['35.575474', '139.657821']",35.575474,139.657821
43,イトーヨーカドー 伊勢原店,"['35.3950062', '139.314991']",35.3950062,139.314991
44,イトーヨーカドー 溝ノ口店,"['35.59832155', '139.615853']",35.59832155,139.615853
45,イトーヨーカドー 新百合ケ丘店,"['35.602968', '139.509271']",35.602968,139.509271
46,イトーヨーカドー 古淵店,"['35.5526886', '139.418794']",35.5526886,139.418794
47,イトーヨーカドー 小田原店,"['35.2817364', '139.188725']",35.2817364,139.188725
48,イトーヨーカドー 鶴見店,"['35.5089399', '139.6862574']",35.5089399,139.6862574
49,イトーヨーカドー 川崎港町店,"['35.5338723', '139.7192693']",35.5338723,139.7192693
50,イトーヨーカドー 能見台店,"['35.3584903', '139.627211']",35.3584903,139.627211
51,イトーヨーカドー 横浜別所店,"['35.415908', '139.594784']",35.415908,139.594784
52,イトーヨーカドー 川崎店,"['35.5144242', '139.7087897']",35.5144242,139.7087897
53,イトーヨーカドー 大和鶴間店,"['35.4905601', '139.4570314']",35.4905601,139.4570314
54,イトーヨーカドー 湘南台店,"['35.3929763', '139.4594261']",35.3929763,139.4594261
55,イトーヨーカドー 立場店,"['35.413399', '139.5006829']",35.413399,139.5006829
56,イトーヨーカドー ららぽ－と横浜店,"['35.5183735', '139.5670084']",35.5183735,139.5670084
57,イトーヨーカドー アリオ橋本店,"['35.5913432', '139.3484598']",35.5913432,139.3484598
58,イトーヨーカドー グランツリ－武蔵小杉店,"['35.5737199', '139.6595627']",35.5737199,139.6595627
59,イトーヨーカドー 川越店,"['35.9140297', '139.4822303']",35.9140297,139.4822303
60,イトーヨーカドー 浦和店,"['35.8603662', '139.6556356']",35.8603662,139.6556356
61,イトーヨーカドー 新田店,"['35.839858', '139.799424']",35.839858,139.799424
62,イトーヨーカドー 久喜店,"['36.0710688', '139.6752036']",36.0710688,139.6752036
63,イトーヨーカドー 坂戸店,"['35.9574472', '139.3914753']",35.9574472,139.3914753
64,イトーヨーカドー 上尾駅前店,"['35.972293', '139.5883472']",35.972293,139.5883472
65,イトーヨーカドー 加須店,"['36.130161', '139.592816']",36.130161,139.592816
66,イトーヨーカドー 草加店,"['35.827942', '139.80466']",35.827942,139.80466
67,イトーヨーカドー 和光店,"['35.7862711', '139.6126143']",35.7862711,139.6126143
68,イトーヨーカドー 春日部店,"['35.9797133', '139.7495498']",35.9797133,139.7495498
69,イトーヨーカドー 上福岡東店,"['35.87193885', '139.524399']",35.87193885,139.524399
70,イトーヨーカドー 錦町店,"['35.8215691', '139.6777321']",35.8215691,139.6777321
71,イトーヨーカドー 大宮宮原店,"['35.9323069', '139.6216206']",35.9323069,139.6216206
72,イトーヨーカドー 三郷店,"['35.8431794', '139.8543471']",35.8431794,139.8543471
73,イトーヨーカドー アリオ川口店,"['35.8068801', '139.7146427']",35.8068801,139.7146427
74,イトーヨーカドー アリオ深谷店,"['36.181603', '139.29844955']",36.181603,139.29844955
75,イトーヨーカドー アリオ鷲宮店,"['36.079039', '139.6624397']",36.079039,139.6624397
76,イトーヨーカドー アリオ上尾店,"['35.961362', '139.564745']",35.961362,139.564745
77,イトーヨーカドー 大宮店,"['35.8971308', '139.6351262']",35.8971308,139.6351262
78,イトーヨーカドー 柏店,"['35.861431', '139.973003']",35.861431,139.973003
79,イトーヨーカドー 津田沼店,"['35.6895675', '140.0246344']",35.6895675,140.0246344
80,イトーヨーカドー 姉崎店,"['35.4798286', '140.0454985']",35.4798286,140.0454985
81,イトーヨーカドー 松戸店,"['35.7838501', '139.9023919']",35.7838501,139.9023919
82,イトーヨーカドー 船橋店,"['35.7032208', '139.9848072']",35.7032208,139.9848072
83,イトーヨーカドー 八柱店,"['35.7911167', '139.9398337']",35.7911167,139.9398337
84,イトーヨーカドー 我孫子南口店,"['35.8717778', '140.01306']",35.8717778,140.01306
85,イトーヨーカドー 流山店,"['35.850192', '139.899285']",35.850192,139.899285
86,イトーヨーカドー 我孫子店,"['35.876608', '140.009152']",35.876608,140.009152
87,イトーヨーカドー 東習志野店,"['35.6998317', '140.07290455']",35.6998317,140.07290455
88,イトーヨーカドー 幕張店,"['35.6560848', '140.050884']",35.6560848,140.050884
89,イトーヨーカドー 竜ヶ崎店,"['35.9333181', '140.1600974']",35.9333181,140.1600974
90,イトーヨーカドー 成田店,"['35.7596226', '140.2966301']",35.7596226,140.2966301
91,イトーヨーカドー 新浦安店,"['35.6430612', '139.92291675']",35.6430612,139.92291675
92,イトーヨーカドー 八千代店,"['35.722387', '140.11753']",35.722387,140.11753
93,イトーヨーカドー 四街道店,"['35.6676004', '140.1651435']",35.6676004,140.1651435
94,イトーヨーカドー アリオ蘇我店,"['35.587494', '140.122712']",35.587494,140.122712
95,イトーヨーカドー アリオ市原店,"['35.508363', '140.101377']",35.508363,140.101377
96,イトーヨーカドー アリオ柏店,"['35.8339254', '140.0120067']",35.8339254,140.0120067
